feature,importance
Phage genome composition,0.6190810272551752
Host genome composition,0.29360851436546975
Composition distance,0.013793987098181023
Nucleotide homology,0.057345729075877615
CRISPR matching,0.0024866063518890185
Protein homology,0.01368413585340729
cos_dist,0.0016668656739800363
l1,0.0010965918277426588
pearson,0.0012299053002474622
jaccard,0.0006090175641394531
k3dist,0.0030732790716689567
k6dist,0.002855070190712331
GCdiff,0.0032632574696901256
Homology,0.028270241096481054
hom16_frac_kmers,0.003177195346873735
hom16_cov_frac,0.0016788939379568824
hom16_log_shared,0.002477594903689664
hom16_longest_frac,0.0013349452161473929
hom20_frac_kmers,0.00983212523480825
hom20_cov_frac,0.0050970660925334504
hom20_log_shared,0.004019688380979508
hom20_longest_frac,0.0014579788664076845
crispr_n_spacers,0.002042296591519946
crispr_n_hits,0.0
crispr_best_frac,0.00044430976036907233
crispr_has_hit,0.0
prot_frac_kmers,0.003171828600495107
prot_cov_frac,0.002327466867628602
prot_log_shared,0.0014959535446876946
prot_longest_frac,0.006688886840595886
