regime,model,auc,auc_lo,auc_hi,ece
loso_species,GBM,0.9585914302007748,0.944304231058668,0.9728786293428815,0.020879906363205542
loso_species,GNN_graph,0.8690686881796554,0.8387782309916505,0.8993591453676604,0.10687679977426508
loso_species,GNN_nograph,0.8374997541934595,0.8118586792929788,0.8631408290939401,0.1336054910364129
host_cluster,GBM,0.9504766949152543,0.9344718534195419,0.9664815364109668,0.0545917792660408
host_cluster,GNN_graph,0.8534872503026634,0.8224233977992487,0.8845511028060781,0.1175996785545982
host_cluster,GNN_nograph,0.8410496746368037,0.8157771004756025,0.8663222487980049,0.13460665034679448
phage_cluster,GBM,0.8470579625292742,0.8081065904575222,0.8860093346010263,0.4272722473397153
phage_cluster,GNN_graph,0.751844262295082,0.7022420141633889,0.8014465104267752,0.4415421559087022
phage_cluster,GNN_nograph,0.734557962529274,0.6854363890587921,0.7836795359997558,0.3186735893311893
combined_unseen,GBM,0.7852237048665618,0.7355067779992742,0.8349406317338494,0.1628954088006487
combined_unseen,GNN_graph,0.6724391679748822,0.6126890814705048,0.7321892544792596,0.06967626950099838
combined_unseen,GNN_nograph,0.5757947409733124,0.5094334895997571,0.6421559923468677,0.2127961632315618
