strategy,n_phages,resistance_independence,resistance_structure,mutation_rate,resistance_cost,end_load,nadir,log10_drop,resistant_fraction_end,resistant_takeover,rebound,time_to_99pct_suppression_h
cocktail_k1,3,0.0,complete_cross_resistance,1e-08,0.0,1000000001.8230563,195.8055214309748,4.407145070223367,0.9999999121012966,True,True,9.5
cocktail_k1,3,0.0,complete_cross_resistance,1e-08,0.05,999999995.3513035,195.8055214309748,4.407145070223367,0.999999751488861,True,True,9.5
cocktail_k1,3,0.0,complete_cross_resistance,1e-08,0.1,999999981.692624,195.8055214309748,4.407145070223367,0.9999992124583931,True,True,9.5
cocktail_k1,3,0.0,complete_cross_resistance,1e-07,0.0,1000000002.2852409,20286.51810338854,2.391762491469689,0.999999999609528,True,True,9.5
cocktail_k1,3,0.0,complete_cross_resistance,1e-07,0.05,1000000002.8204194,16897.11386347706,2.4711574736990958,0.9999999989735769,True,True,9.5
cocktail_k1,3,0.0,complete_cross_resistance,1e-07,0.1,999999999.9847414,13647.617697966678,2.5639131559572474,0.9999999969984192,True,True,9.5
cocktail_k1,3,0.0,complete_cross_resistance,1e-06,0.0,999999996.5369729,96673.37549499329,1.713663121439252,0.9999999999762426,True,True,
cocktail_k1,3,0.0,complete_cross_resistance,1e-06,0.05,999999999.9112248,80557.0730375336,1.7928663261690678,0.9999999999432488,True,True,
cocktail_k1,3,0.0,complete_cross_resistance,1e-06,0.1,1000000000.0423825,65597.51300053648,1.8820826300612428,0.9999999998513305,True,True,
cocktail_k1,3,0.5,partial_dependence,1e-08,0.0,1000000001.8230563,195.8055214309748,4.407145070223367,0.9999999121012966,True,True,9.5
cocktail_k1,3,0.5,partial_dependence,1e-08,0.05,999999995.3513035,195.8055214309748,4.407145070223367,0.999999751488861,True,True,9.5
cocktail_k1,3,0.5,partial_dependence,1e-08,0.1,999999981.692624,195.8055214309748,4.407145070223367,0.9999992124583931,True,True,9.5
cocktail_k1,3,0.5,partial_dependence,1e-07,0.0,1000000002.2852409,20286.51810338854,2.391762491469689,0.999999999609528,True,True,9.5
cocktail_k1,3,0.5,partial_dependence,1e-07,0.05,1000000002.8204194,16897.11386347706,2.4711574736990958,0.9999999989735769,True,True,9.5
