phage,host,study,label,k3dist,k6dist,GCdiff,Homology,host_species,host_genus
nc 024785,acinetobacter baumannii,NCBI_HR,1,0.0797167269618531,0.191765188719063,-1.36348643200296,1,acinetobacter baumannii,acinetobacter
nc 031039,bacillus subtilis,NCBI_HR,1,0.340296010504202,0.331325234537718,-15.7557550957679,0,bacillus subtilis,bacillus
nc 031001,gordonia terrae,NCBI_HR,1,0.128758501913328,0.198323289387268,-8.252616613675,0,gordonia terrae,gordonia
nc 031113,escherichia coli,NCBI_HR,1,0.0833211561943223,0.182359207485973,3.68559244390089,0,escherichia coli,escherichia
nc 031091,pseudomonas aeruginosa,NCBI_HR,1,0.0385939920463098,0.12610366600712,-5.34568493140049,1,pseudomonas aeruginosa,pseudomonas
nc 031051,enterococcus faecalis,NCBI_HR,1,0.290366143789388,0.299615153179764,-3.14070108725212,1,enterococcus faecalis,enterococcus
nc 031019,salmonella enterica,NCBI_HR,1,0.102078300631776,0.185652628265004,-4.72519931060168,1,salmonella enterica,salmonella
nc 031085,shigella sonnei,NCBI_HR,1,0.142562672328559,0.251904644517626,-15.6793260102885,1,shigella sonnei,shigella
nc 031034,bacillus thuringiensis,NCBI_HR,1,0.546199871185719,0.391997687829295,3.44967096603086,0,bacillus thuringiensis,bacillus
nc 031024,bacillus thuringiensis,NCBI_HR,1,0.538553722494375,0.387602942599804,3.51359024848986,0,bacillus thuringiensis,bacillus
nc 031016,lactococcus garvieae,NCBI_HR,1,0.0649357917169177,0.185687292949126,-3.36584107946077,1,lactococcus garvieae,lactococcus
nc 031002,lactococcus lactis,NCBI_HR,1,0.177653092655912,0.30899089697944,0.794828852840276,0,lactococcus lactis,lactococcus
nc 031123,citrobacter freundii,NCBI_HR,1,0.52523551792791,0.448972214945106,-1.05492287049677,0,citrobacter freundii,citrobacter
nc 031086,acinetobacter baumannii,NCBI_HR,1,0.4578380988989,0.408510128795874,0.504867558596651,0,acinetobacter baumannii,acinetobacter
nc 031006,bacillus thuringiensis,NCBI_HR,1,0.540641577793,0.389113608567365,3.39920553470504,0,bacillus thuringiensis,bacillus
nc 030942,gordonia terrae,NCBI_HR,1,0.0318319618412612,0.0910730794869593,-2.80542291841557,1,gordonia terrae,gordonia
nc 031126,erwinia amylovora,NCBI_HR,1,0.269467446334497,0.268491906086616,-4.1876297661174,0,erwinia amylovora,erwinia
nc 031125,lactobacillus casei,NCBI_HR,1,0.0970391430732512,0.18879437078708,-3.09575890725311,1,lactobacillus casei,lactobacillus
nc 031116,bacillus thuringiensis,NCBI_HR,1,0.533917138326558,0.381796011589221,3.35919736672759,0,bacillus thuringiensis,bacillus
nc 031099,gordonia terrae,NCBI_HR,1,0.017715559020835,0.0654498696158874,-0.61150954012183,0,gordonia terrae,gordonia
nc 031073,pseudomonas aeruginosa,NCBI_HR,1,0.249322920841116,0.359830026416134,-17.2317258985707,1,pseudomonas aeruginosa,pseudomonas
nc 030953,shigella sonnei,NCBI_HR,1,0.144592992586035,0.249543096074541,-15.8138380869321,1,shigella sonnei,shigella
nc 030951,clostridium tetani,NCBI_HR,1,0.109208418380196,0.192133745347635,0.307000304620406,1,clostridium tetani,clostridium
nc 030949,clostridium tetani,NCBI_HR,1,0.084239192823649,0.160649799081471,-0.344363509351528,1,clostridium tetani,clostridium
nc 030945,bacillus alcalophilus,NCBI_HR,1,0.132017450850782,0.24147231837249,5.56832733338759,1,bacillus alcalophilus,bacillus
nc 031004,gordonia terrae,NCBI_HR,1,0.0259138829035862,0.0760227352744648,-0.291142600873684,0,gordonia terrae,gordonia
nc 031007,erwinia amylovora,NCBI_HR,1,0.254442040366209,0.25606917018492,-3.01315422836839,0,erwinia amylovora,erwinia
nc 031009,lactococcus lactis,NCBI_HR,1,0.175685062336926,0.304040878625825,0.432730812483932,0,lactococcus lactis,lactococcus
nc 031010,erwinia amylovora,NCBI_HR,1,0.257476382242806,0.265425682564888,-1.50039482415504,0,erwinia amylovora,erwinia
nc 031052,gordonia terrae,NCBI_HR,1,0.0241067173418249,0.0678912291688289,-0.0823853466309572,1,gordonia terrae,gordonia
nc 031050,escherichia coli,NCBI_HR,1,0.0844615505452194,0.183422936867644,-0.953799776283546,0,escherichia coli,escherichia
nc 031049,bacillus thuringiensis,NCBI_HR,1,0.549911764250755,0.390362364891937,3.44009658550165,0,bacillus thuringiensis,bacillus
nc 031047,escherichia coli,NCBI_HR,1,0.163892191745942,0.264226767410745,-15.4679555810527,1,escherichia coli,escherichia
nc 031046,staphylococcus aureus,NCBI_HR,1,0.174731444584279,0.276991200434618,-3.8712844148835,0,staphylococcus aureus,staphylococcus
nc 031044,lactococcus lactis,NCBI_HR,1,0.170524926012738,0.303610961407521,0.733860820785317,0,lactococcus lactis,lactococcus
nc 031043,erwinia amylovora,NCBI_HR,1,0.293748304949729,0.29364249487893,-4.46490035593781,0,erwinia amylovora,erwinia
nc 031042,salmonella typhimurium,NCBI_HR,1,0.427919079197445,0.381152538686316,-13.3201982164029,0,salmonella typhimurium,salmonella
nc 031040,lactococcus lactis,NCBI_HR,1,0.049854571881715,0.162242775528766,0.619456731066471,1,lactococcus lactis,lactococcus
nc 031037,bacillus thuringiensis,NCBI_HR,1,0.542106067605085,0.387778303117665,3.47906591335121,0,bacillus thuringiensis,bacillus
nc 031036,lactobacillus casei,NCBI_HR,1,0.0932306711627211,0.176434396828338,-2.70064153242491,1,lactobacillus casei,lactobacillus
nc 031030,escherichia coli,NCBI_HR,1,0.153943110811598,0.254343035099657,-15.491583963402,1,escherichia coli,escherichia
nc 031029,gordonia terrae,NCBI_HR,1,0.0496115740557653,0.103900963767191,-5.81962740592276,1,gordonia terrae,gordonia
nc 031028,gordonia terrae,NCBI_HR,1,0.317433890888788,0.314475196935405,-2.55757185083429,0,gordonia terrae,gordonia
nc 031027,bacillus thuringiensis,NCBI_HR,1,0.544795335957266,0.38899243552614,3.42749709307558,0,bacillus thuringiensis,bacillus
nc 031026,salmonella typhimurium,NCBI_HR,1,0.0781397404673767,0.180805586101537,-9.26931297444752,0,salmonella typhimurium,salmonella
nc 031025,klebsiella pneumoniae,NCBI_HR,1,0.414714337830859,0.397965601065592,-3.29939116026885,0,klebsiella pneumoniae,klebsiella
nc 031022,shigella sonnei,NCBI_HR,1,0.36137248034289,0.342829070182229,-12.3138374768034,0,shigella sonnei,shigella
nc 031018,citrobacter freundii,NCBI_HR,1,0.518606159517698,0.444615258118912,0.890614652170832,0,citrobacter freundii,citrobacter
nc 031017,lactococcus lactis,NCBI_HR,1,0.0522533892860775,0.164720962398919,0.13407844289398,1,lactococcus lactis,lactococcus
nc 031015,bacillus thuringiensis,NCBI_HR,1,0.226492692749584,0.269207607142059,-5.01111295726902,0,bacillus thuringiensis,bacillus
nc 031014,pseudomonas syringae,NCBI_HR,1,0.143956965870691,0.219793688051698,-2.4780416556821,0,pseudomonas syringae,pseudomonas
nc 031013,lactococcus lactis,NCBI_HR,1,0.0586218631952161,0.170938355073012,0.82288778390366,1,lactococcus lactis,lactococcus
nc 031012,bacillus thuringiensis,NCBI_HR,1,0.548289840418,0.391596847892284,3.39573178943863,0,bacillus thuringiensis,bacillus
nc 031011,shigella sonnei,NCBI_HR,1,0.147179568020905,0.252099011376948,-15.669520051467,1,shigella sonnei,shigella
nc 030944,gordonia terrae,NCBI_HR,1,0.100026844293531,0.162205572439248,-8.54928310626857,0,gordonia terrae,gordonia
nc 030941,gordonia terrae,NCBI_HR,1,0.0986607301765261,0.195618578941329,-7.76142384969132,0,gordonia terrae,gordonia
nc 031055,bacillus cereus,NCBI_HR,1,0.090267177213764,0.209167058277069,0.117727210382952,1,bacillus cereus,bacillus
nc 029097,rhodobacter capsulatus,NCBI_HR,1,0.232009698238996,0.317156800040125,-11.4220991823195,0,rhodobacter capsulatus,rhodobacter
nc 030696,gordonia terrae,NCBI_HR,1,0.047961177260696,0.10152987283198,-5.87217640205122,1,gordonia terrae,gordonia
nc 028748,bacillus thuringiensis,NCBI_HR,1,0.0562342896195207,0.161467176693374,0.175619168172467,1,bacillus thuringiensis,bacillus
nc 019919,yersinia enterocolitica,NCBI_HR,1,0.296151346800647,0.315387521036472,-6.7592139246774,0,yersinia enterocolitica,yersinia
nc 029083,pseudomonas aeruginosa,NCBI_HR,1,0.259126541098996,0.355453262553406,-16.9719427401341,0,pseudomonas aeruginosa,pseudomonas
nc 029120,shigella sonnei,NCBI_HR,1,0.0603118098127945,0.12042597036252,-1.93441582719444,1,shigella sonnei,shigella
nc 029119,staphylococcus epidermidis,NCBI_HR,1,0.176450594623675,0.205372206769188,-1.75790286553663,1,staphylococcus epidermidis,staphylococcus
nc 029118,lactococcus garvieae,NCBI_HR,1,0.266364914233012,0.340072367755547,-0.894954747873356,0,lactococcus garvieae,lactococcus
nc 029107,ralstonia solanacearum,NCBI_HR,1,0.0877994994202362,0.156021222736877,-1.76341022110508,0,ralstonia solanacearum,ralstonia
